,City,Lat,Lng,Date and Time,Max Temperature,Humidity,Cloudiness,Windspeed
0,Kapaa,22.08,-159.32,2020-10-20 16:55:17,73,79,46,8.55
1,Cheuskiny,22.08,-159.32,2020-10-20 16:55:17,73,79,46,8.55
2,Belmonte,-15.86,-38.88,2020-10-20 16:55:26,77,83,90,6.93
3,Port Elizabeth,-33.92,25.57,2020-10-20 16:53:30,62.6,72,10,19.46
4,Norman Wells,65.28,-126.83,2020-10-20 16:55:32,17.6,92,75,9.17
5,Bluff,-46.6,168.33,2020-10-20 16:55:33,42.01,88,92,12.77
6,Hovd,48.01,91.64,2020-10-20 16:55:34,29.12,81,71,0.54
7,Hilo,19.73,-155.09,2020-10-20 16:51:50,69.8,64,1,6.93
8,Grindavik,63.84,-22.43,2020-10-20 16:52:58,39.2,69,75,6.93
9,Westport,41.14,-73.36,2020-10-20 16:53:46,66,93,90,4.7
10,Guanica,17.97,-66.91,2020-10-20 16:55:39,88,63,69,3
11,Albany,42.6,-73.97,2020-10-20 16:55:40,62.01,75,100,1.45
12,Ushuaia,-54.8,-68.3,2020-10-20 16:51:26,44.6,56,40,23.04
13,Kaitangata,-46.28,169.85,2020-10-20 16:55:43,48,86,97,1.83
14,Jamestown,42.1,-79.24,2020-10-20 16:52:11,48.99,93,90,8.05
15,Longyearbyen,78.22,15.64,2020-10-20 16:55:45,23,79,41,3.36
16,Ulladulla,-35.35,150.47,2020-10-20 16:55:46,54,100,90,3.87
17,Ilulissat,69.22,-51.1,2020-10-20 16:55:47,39.2,80,75,12.75
18,Tigre,-34.43,-58.58,2020-10-20 16:55:49,57.99,76,90,16.11
19,Kozluk,38.19,41.49,2020-10-20 16:51:33,68,40,80,2.24
20,Cockburn Town,21.46,-71.14,2020-10-20 16:55:51,82.76,70,8,8.99
21,Namibe,-15.2,12.15,2020-10-20 16:55:39,71.6,78,90,19.46
22,Severo-Kurilsk,50.68,156.12,2020-10-20 16:55:53,40.01,71,30,24.4
23,Ejido,8.55,-71.24,2020-10-20 16:55:54,82.2,41,100,5.39
24,Port Alfred,-33.59,26.89,2020-10-20 16:55:56,61.83,68,82,16.82
25,Belushya Guba,-33.59,26.89,2020-10-20 16:55:56,61.83,68,82,16.82
26,Butaritari,3.07,172.79,2020-10-20 16:55:58,81.81,73,91,7.63
27,Warqla,3.07,172.79,2020-10-20 16:55:58,81.81,73,91,7.63
28,Thinadhoo,0.53,72.93,2020-10-20 16:56:00,83.19,77,27,11.83
29,Chuy,-33.7,-53.46,2020-10-20 16:51:09,58.35,77,100,17.67
30,Mbandaka,0.05,18.26,2020-10-20 16:56:03,77.34,79,23,1.66
31,Reconquista,-29.15,-59.65,2020-10-20 16:56:04,89.17,47,2,12.73
